id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-150590,2025-01-31,000001,Vente,410000,39,,RUE PAUL LOUIS LANDE,7040,33000,33063,Bordeaux,33,,,33063000HC0066,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,24,0,S,sols,,,142,-0.576237,44.833809
2025-150590,2025-01-31,000001,Vente,410000,39,,RUE PAUL LOUIS LANDE,7040,33000,33063,Bordeaux,33,,,33063000HC0066,,,,,,,,,,,,,0,2,Appartement,35,2,S,sols,,,142,-0.576237,44.833809
2025-150591,2025-02-05,000001,Vente,1305500,71,,RUE FAMATINA,3380,33200,33063,Bordeaux,33,,,33063000MW0166,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,443,-0.603913,44.845528
2025-150591,2025-02-05,000001,Vente,1305500,71,,RUE FAMATINA,3380,33200,33063,Bordeaux,33,,,33063000MW0166,,,,,,,,,,,,,0,1,Maison,190,6,S,sols,,,443,-0.603913,44.845528
2025-150591,2025-02-05,000001,Vente,1305500,71,,RUE FAMATINA,3380,33200,33063,Bordeaux,33,,,33063000MW0166,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,443,-0.603913,44.845528
2025-150592,2025-02-12,000001,Vente,281000,42,,RUE DE TIVOLI,8965,33000,33063,Bordeaux,33,,,33063000OP0021,,,451,,520,86.03,,,,,,,2,3,Dépendance,,0,,,,,,-0.590581,44.855053
2025-150592,2025-02-12,000001,Vente,281000,46,,RUE DE TIVOLI,8965,33000,33063,Bordeaux,33,,,33063000OP0021,,,162,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.590581,44.855053
2025-150592,2025-02-12,000001,Vente,281000,42,,RUE DE TIVOLI,8965,33000,33063,Bordeaux,33,,,33063000OP0021,,,451,,520,86.03,,,,,,,2,2,Appartement,87,3,,,,,,-0.590581,44.855053
2025-150593,2025-02-26,000001,Vente,28000,207,,CRS DE L YSER,9500,33800,33063,Bordeaux,33,,,33063000CS0072,,,164,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.571604,44.822105
2025-150601,2025-02-18,000001,Vente,30000,38,,RUE PLANTEROSE,7355,33800,33063,Bordeaux,33,,,33063000DN0437,,,6,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.56615,44.832521
